week,population,police,crime,emp,un,ymale,white,borough
2,165242,19841.684,429,0.67117232,0.048527505,0.087027185,0.62423885,4
3,165242,20564.916,398,0.67793506,0.061527666,0.070533462,0.64231122,4
4,165242,18828,406,0.66553849,0.068132237,0.091269724,0.56081074,4
5,165242,18909.416,353,0.56599742,0.081261672,0.059532747,0.52081382,4
6,165242,18284.416,481,0.65516323,0.060367372,0.052752685,0.65107507,4
7,165242,18743.5,461,0.63793564,0.074774444,0.10609662,0.76670098,4
8,165242,19138.25,403,0.61349183,0.046931159,0.03134032,0.58756179,4
9,165242,19120.25,430,0.64084208,0.041884463,0.079565823,0.46312574,4
10,165242,19091.916,466,0.6299116,0.056873627,0.047608454,0.6372568,4
11,165242,19247.834,481,0.61911047,0.079837143,0.07316041,0.6012876,4
12,165242,19158.334,475,0.60137135,0.056197092,0.044688657,0.5373885,4
13,165242,19415.834,472,0.64510328,0.068087108,0.087095805,0.63874418,4
14,165242,18774.25,449,0.72310507,0.045560144,0.061491754,0.73525661,4
15,165242,15047.25,399,0.69092172,0.042220645,0.095628053,0.61782062,4
16,165242,19574,486,0.66404653,0.067693651,0.10451576,0.56810844,4
17,165242,20020.75,482,0.59155923,0.06610468,0.088108346,0.53905362,4
18,165242,19171.916,435,0.57167757,0.085682981,0.064197108,0.49946806,4
19,165242,19852.25,494,0.67091739,0.078320242,0.037772071,0.64493662,4
20,165242,20988,481,0.62742692,0.077079095,0.096353926,0.68391377,4
21,165242,19838.666,514,0.56242853,0.058356091,0.050282869,0.55294615,4
22,165242,17419.584,472,0.60472542,0.044581994,0.073229983,0.51145262,4
23,165242,19599.334,497,0.71684551,0.04424214,0.060698837,0.68756562,4
24,165242,20525.666,509,0.61788952,0.064013727,0.06707073,0.59911919,4
25,165242,20006.666,461,0.58157659,0.081252471,0.047610667,0.52923638,4
26,165242,18904.834,475,0.62230229,0.074782841,0.069124758,0.58252966,4
27,165242,19254.65,480,0.69776106,0.086548977,0.072573297,0.71873838,4
28,165242,19421.584,528,0.66326606,0.046669848,0.083489619,0.62662351,4
29,165242,19818.584,521,0.63875693,0.09057565,0.11511809,0.61073929,4
30,165242,17989.916,481,0.5977726,0.092210479,0.077749558,0.57483274,4
31,165242,18247.066,424,0.57348573,0.071053177,0.061159603,0.49311814,4
